channel_id;channel_provider_id;site_provider_id;site_id;mobility_type;commentaire;counter_transmission_type;publication_transmission_type;counter_type;direction;provider_direction_code;provider_direction_name;data_provider_name;temporality;started_at;ended_at;last_updated_at;time_step;provider_portal_url
69091.00052.02.00;69091.00052.02.00;;69091.00052.02;PEDESTRIAN;;REMOTE TRANSMISSION;API;ACTIVE INFRARED;N;IN;JCDecaux;JCDecaux;PERMANENT;2025-12-15 14:00:00+01:00;;2025-12-17 09:00:00+01:00;3600;
69091.00052.02.01;69091.00052.02.01;;69091.00052.02;PEDESTRIAN;;REMOTE TRANSMISSION;API;ACTIVE INFRARED;N;IN;JCDecaux;JCDecaux;PERMANENT;2025-12-15 14:00:00+01:00;;2025-12-17 09:00:00+01:00;3600;
69266.00611.02.00;69266.00611.02.00;;69266.00611.02;PEDESTRIAN;;REMOTE TRANSMISSION;API;ACTIVE INFRARED;N;IN;JCDecaux;JCDecaux;PERMANENT;2024-04-03 22:00:00+02:00;;2026-04-16 17:00:00+02:00;3600;
69194.00013.02.01;69194.00013.02.01;;69194.00013.02;PEDESTRIAN;;REMOTE TRANSMISSION;API;ACTIVE INFRARED;N;IN;JCDecaux;JCDecaux;PERMANENT;2024-04-04 21:00:00+02:00;;2026-04-25 12:00:00+02:00;3600;
353479605;353479605;100013842;100013842;E-SCOOTER;Lyon 7_Pont Raymond Barre;;API;;;IN;;EcoCounter;PERMANENT;2024-07-01 00:00:00+02:00;;2026-04-24 01:15:00+02:00;900;
353480095;353480095;100013842;100013842;BIKE;Lyon 7_Pont Raymond Barre;;API;;;IN;;EcoCounter;PERMANENT;2024-09-02 00:00:00+02:00;;2024-10-18 18:00:00+02:00;900;
353480097;353480097;100013842;100013842;BIKE;Lyon 7_Pont Raymond Barre;;API;;;OUT;;EcoCounter;PERMANENT;2024-09-02 00:00:00+02:00;;2024-10-18 18:00:00+02:00;900;
101030470;101030470;100030470;100030470;PEDESTRIAN;Sentier de la marinade;;API;;;IN;;EcoCounter;PERMANENT;2016-04-06 00:00:00+02:00;;;900;
102030470;102030470;100030470;100030470;PEDESTRIAN;Sentier de la marinade;;API;;;OUT;;EcoCounter;PERMANENT;2016-04-06 00:00:00+02:00;;;900;
69382.00652.02.01;69382.00652.02.01;;69382.00652.02;PEDESTRIAN;PEDESTRIAN_FLOW_SENSOR;REMOTE TRANSMISSION;API;ACTIVE INFRARED;N;IN;JCDecaux;JCDecaux;PERMANENT;2023-02-22 12:00:00+01:00;;2026-04-25 11:00:00+02:00;3600;
353479606;353479606;100013842;100013842;E-SCOOTER;Lyon 7_Pont Raymond Barre;;API;;;OUT;;EcoCounter;PERMANENT;2024-07-01 00:00:00+02:00;;2026-04-24 01:15:00+02:00;900;
69382.02085.03.00;69382.02085.03.00;;69382.02085.03;PEDESTRIAN;PEDESTRIAN_FLOW_SENSOR;REMOTE TRANSMISSION;API;ACTIVE INFRARED;N;IN;JCDecaux;JCDecaux;PERMANENT;2023-02-22 12:00:00+01:00;;2026-04-25 12:00:00+02:00;3600;
353302063;353302063;300022560;300022560;CAR;Lyon 2_Pont de la Guillotière_Citix-AI;;API;;;IN;;EcoCounter;PERMANENT;2021-08-31 00:00:00+02:00;;2023-04-07 19:13:00+02:00;780;
69266.00541.02.00;69266.00541.02.00;;69266.00541.02;PEDESTRIAN;;REMOTE TRANSMISSION;API;ACTIVE INFRARED;N;IN;JCDecaux;JCDecaux;PERMANENT;2024-06-26 13:00:00+02:00;;2024-09-19 11:00:00+02:00;3600;
69266.00541.02.01;69266.00541.02.01;;69266.00541.02;PEDESTRIAN;;REMOTE TRANSMISSION;API;ACTIVE INFRARED;N;IN;JCDecaux;JCDecaux;PERMANENT;2024-06-26 13:00:00+02:00;;2024-09-19 11:00:00+02:00;3600;
