chantier_id;commune_id;fid;gid;nom_voie;nom_chantier;commune;code_insee;precision_localisation;debut_chantier;fin_chantier;description_internet;avancement;importance;type_perturbation;intervenant;validite;code_importance;document_joint;url_document;geometrie_wkt
CHANTIER_412954;INSEE_69199;pvo_patrimoine_voirie.pvochantierperturbant.412954;412954;Rue Carnot;Travaux T10;Saint-Fons;69199;Ensemble de l'axe;2026-01-05;2026-07-31;;Chantier en cours;Chantier très perturbant;Circulation interdite;Autre;A vérifier;1;;;MULTIPOLYGON (((4.8553494290019374 45.708493659832534, 4.855949311766088 45.70831009484694, 4.856343225700489 45.70822923420051, 4.856731546747777 45.70819312033117, 4.857162666423596 45.70816622957882, 4.857318060551638 45.708153766738505, 4.857876260048184 45.708114872918124, 4.858052887694191 45.708102061996236, 4.858653721541683 45.70806742926088, 4.858957595389436 45.708047574225155, 4.859496210459909 45.70805861142165, 4.860388907777152 45.70806881304661, 4.8608704002419305 45.70806589306312, 4.861479633984496 45.70807080282458, 4.862067798277674 45.708081016365135, 4.862237678838187 45.708078233205796, 4.862846581671979 45.708073217316375, 4.863234730523232 45.708032122092426, 4.863708315883942 45.70800451031507, 4.864257608318009 45.70791115045602, 4.86418566513481 45.70787759817421, 4.863650198254356 45.70796080634943, 4.862879488388854 45.70799824986427, 4.860025432748512 45.708000333576074, 4.85977702920858 45.70798455077908, 4.859337676954078 45.70797685306748, 4.858835445799886 45.707994991339625, 4.8581142807468085 45.70803159222923, 4.856488901525555 45.70813754135679, 4.85634799402185 45.70815969020005, 4.855806424129567 45.70827273295762, 4.855354735764524 45.708383675966374, 4.8553494290019374 45.708493659832534)))
CHANTIER_413894;INSEE_69286;pvo_patrimoine_voirie.pvochantierperturbant.413894;413894;Avenue de l'Europe;Assainissement d'eau potable;Rillieux-la-Pape;69286;;2026-02-28;2026-04-30;;Chantier en cours;Chantier perturbant;Circulation réduite;Autre;A vérifier;2;;;MULTIPOLYGON (((4.88989985856637 45.812119208202766, 4.88987560948356 45.812169086157404, 4.891382202236321 45.81264377316273, 4.891409534536596 45.81261528327122, 4.88989985856637 45.812119208202766)))
CHANTIER_412902;INSEE_69266;pvo_patrimoine_voirie.pvochantierperturbant.412902;412902;Rue du Pérou;Travaux piste cyclable;Villeurbanne;69266;de la Rue Edouard Vaillant jusqu'à l'Avenue Roger Salengro;2025-11-25;2026-11-20;Dans le sens Est-Ouest;Chantier en cours;Chantier très perturbant;Circulation interdite;Autre;A vérifier;1;;;MULTIPOLYGON (((4.876756843652495 45.77687882846536, 4.876820129730958 45.77687423327408, 4.877218235260076 45.77694047055348, 4.877767977068039 45.776988223636835, 4.878044522467382 45.77706179100382, 4.879618821941639 45.77739093977213, 4.879644445603018 45.77732303949937, 4.878169419919487 45.777002907345775, 4.877983258524443 45.776975792504054, 4.8767775187512425 45.77681456201162, 4.876756843652495 45.77687882846536)))
CHANTIER_412908;INSEE_69387;pvo_patrimoine_voirie.pvochantierperturbant.412908;412908;Rue Saint Jean de Dieu;travaux de voirie;Lyon 7e Arrondissement;69387;au Sud de la Rue Pierre Gilles de Gennes;2025-12-10;2026-07-03;;Chantier en cours;Chantier très perturbant;Circulation interdite;Autre;A vérifier;1;;;MULTIPOLYGON (((4.845112965760048 45.72528161208768, 4.8451737595688105 45.725275599763, 4.845059023394714 45.72451858604641, 4.844973712392884 45.72454258627192, 4.84510587833598 45.72528423907446, 4.845112965760048 45.72528161208768)))
CHANTIER_414026;INSEE_69266;pvo_patrimoine_voirie.pvochantierperturbant.414026;414026;Rue de la Poste;Travaux de voirie;Villeurbanne;69266;Au Sud de la place Jules Grandclément;2026-03-16;2026-05-29;De 7h à 17h, du lundi au vendredi;Chantier en cours;Chantier perturbant;Circulation réduite de jour;Autre;A vérifier;2;;;MULTIPOLYGON (((4.887657242007961 45.757989078311596, 4.887568156025663 45.75798207542032, 4.887435898511058 45.75872776091153, 4.887505235039599 45.758747812672425, 4.887531202726027 45.75862016921851, 4.887586573658198 45.75852596019265, 4.887657242007961 45.757989078311596)))
CHANTIER_413666;INSEE_69256;pvo_patrimoine_voirie.pvochantierperturbant.413666;413666;Avenue Paul Marcellin;Travaux d'aménagement de voirie;Vaulx-en-Velin;69256;Entre l'avenue Karl Marx et l'avenue Eugène Hénaff;2026-02-16;2026-05-11;Sens Sud/Nord;Chantier en cours;Chantier très perturbant;Circulation sens unique;Autre;A vérifier;1;;;MULTIPOLYGON (((4.931691584711353 45.77555952489816, 4.931864460438124 45.77559193865303, 4.932213796087724 45.774886112397205, 4.932477106992009 45.77388482185282, 4.93264436517883 45.773609799696814, 4.933035120649393 45.77322493674247, 4.933984267761898 45.77277402567183, 4.933828896138621 45.77266355207216, 4.93354087802165 45.7728063044434, 4.932974687879752 45.77308456981391, 4.932623339415443 45.773440485712506, 4.932230419186011 45.774200075269356, 4.932058518550603 45.77492409713327, 4.931691584711353 45.77555952489816)))
CHANTIER_413911;INSEE_69387;pvo_patrimoine_voirie.pvochantierperturbant.413911;413911;Place des Pavillons;Travaux de voirie;Lyon 7e Arrondissement;69387;Au Sud de l'allée d'Italie;2026-03-30;2026-04-30;;Chantier en cours;Chantier très perturbant;Circulation interdite;Autre;A vérifier;1;;;MULTIPOLYGON (((4.829408200954598 45.72963197233491, 4.829514739251906 45.729626961454336, 4.829507024803685 45.7295831285326, 4.829402018870522 45.72958701582771, 4.829408200954598 45.72963197233491)))
CHANTIER_414123;INSEE_69387;pvo_patrimoine_voirie.pvochantierperturbant.414123;414123;Rue de l'Université;Travaux de voie lyonnaise n°8;Lyon 7e Arrondissement;69387;Entre l'avenue Jean Jaurès et le quai Claude Bernard;2026-03-20;2026-04-30;;Chantier en cours;Chantier perturbant;Circulation réduite;Autre;A vérifier;2;;;MULTIPOLYGON (((4.836907640474165 45.75181019374898, 4.837061967815385 45.7519236630035, 4.838741161763807 45.75124292767462, 4.841169314581041 45.74975939392882, 4.8436132589242655 45.748301904585304, 4.8434608443930625 45.7482463935292, 4.840669654852004 45.74990452685009, 4.839157070028431 45.75084087833277, 4.838536762853878 45.75120933418384, 4.836907640474165 45.75181019374898)))
CHANTIER_413676;INSEE_69387;pvo_patrimoine_voirie.pvochantierperturbant.413676;413676;Avenue Leclerc;Travaux de voirie;Lyon 7e Arrondissement;69387;Au Nord de la rue Victor Lagrange;2026-03-30;2026-04-25;;Chantier en cours;Chantier très perturbant;Circulation interdite;Autre;A vérifier;1;;;MULTIPOLYGON (((4.832196158416117 45.74573855775095, 4.832057345666715 45.745569058085884, 4.831795212011389 45.745701551876515, 4.831932945068595 45.745838205889456, 4.832196158416117 45.74573855775095)))
CHANTIER_413668;INSEE_69256;pvo_patrimoine_voirie.pvochantierperturbant.413668;413668;Chemin Claude Debussy;Travaux tramway T9;Vaulx-en-Velin;69256;Entre la rue des Onchères et l'avenue Georges Dimitrov;2026-02-16;2026-05-15;;Chantier en cours;Chantier très perturbant;Circulation interdite;Autre;A vérifier;1;;;MULTIPOLYGON (((4.928430896984147 45.78030485780367, 4.9285328223580995 45.780349947349706, 4.92920814265501 45.77845914644015, 4.929135919976001 45.77844365060519, 4.928430896984147 45.78030485780367)))
CHANTIER_413667;INSEE_69256;pvo_patrimoine_voirie.pvochantierperturbant.413667;413667;Avenue Georges Dimitrov;Travaux de tramway T9;Vaulx-en-Velin;69256;A l'intersection avec l'avenue Paul Marcellin;2026-02-16;2026-05-15;;Chantier en cours;Chantier perturbant;Circulation alternée;Autre;A vérifier;2;;;MULTIPOLYGON (((4.930193811978546 45.77865219311448, 4.930273090969699 45.77871021538053, 4.9303134775673625 45.77878267873689, 4.930453737101122 45.77880786260819, 4.930520186140275 45.77875797016923, 4.930593683676417 45.77873658131553, 4.9306420648447515 45.77873364007427, 4.930669962103701 45.77866425855506, 4.930623765387716 45.77864277966299, 4.930594785350554 45.77859344574927, 4.930580129512864 45.77856401092014, 4.930431822835931 45.77852518224129, 4.930341073346154 45.77857336630736, 4.93021580041532 45.77858715293631, 4.930193811978546 45.77865219311448)))
CHANTIER_414124;INSEE_69387;pvo_patrimoine_voirie.pvochantierperturbant.414124;414124;Rue Marc Bloch;Travaux de voie lyonnaise n°8;Lyon 7e Arrondissement;69387;Entre la rue Garibaldi et l'avenue Jean Jaurès;2026-03-20;2026-04-30;;Chantier en cours;Chantier perturbant;Circulation réduite;Autre;A vérifier;2;;;MULTIPOLYGON (((4.843700764465315 45.74811301406641, 4.843768669059057 45.74823278743698, 4.845800560248426 45.747026912075135, 4.847714199333158 45.74592140961337, 4.847890917579959 45.74585138606201, 4.848389262306655 45.745646310084474, 4.848613840104113 45.74547701787522, 4.84887051794801 45.745311681033186, 4.848753557083279 45.74525538387975, 4.848221321894004 45.74559531755876, 4.847824340404557 45.7457718857701, 4.847552354128511 45.745861363636436, 4.846980427528222 45.74616164369571, 4.845494683812854 45.74705873565969, 4.843700764465315 45.74811301406641)))
