commune_id;code_insee;commune_nom;groupe_commune;departement;pays;sources;region_libelle;departement_libelle;arrondissement_libelle;commune_libelle_insee;latitude;longitude;localisation_azure
INSEE_01004;01004;Ambérieu-en-Bugey;Communauté de communes de la Plaine de l'Ain;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Belley;Ambérieu-en-Bugey;45.957470664713995;5.370568254510258;AMBERIEU EN BUGEY, France
INSEE_01005;01005;Ambérieux-en-Dombes;Communauté de communes Dombes Saône Vallée;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Bourg-en-Bresse;Ambérieux-en-Dombes;45.99922938293103;4.911871787269484;AMBERIEUX EN DOMBES, France
INSEE_01007;01007;Ambronay;Communauté de communes de la Plaine de l'Ain;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Belley;Ambronay;46.00987321008654;5.362654637706747;AMBRONAY, France
INSEE_01027;01027;Balan;Communauté de communes de la Côtière à Montluel;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Bourg-en-Bresse;Balan;45.82681753365454;5.107586651440575;BALAN, France
INSEE_01031;01031;Bellignat;Communauté d'agglomération Haut - Bugey Agglomération;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Nantua;Bellignat;46.24023325917565;5.637114075797013;BELLIGNAT, France
INSEE_01032;01032;Béligneux;Communauté de communes de la Côtière à Montluel;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Bourg-en-Bresse;Béligneux;45.86221995180255;5.141523782764034;BELIGNEUX, France
INSEE_01033;01033;Valserhône;Communauté de communes du Pays Bellegardien (CCPB);01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Nantua;Valserhône;46.123350647728046;5.79442310304219;VALSERHONE, France
INSEE_01034;01034;Belley;Communauté de communes Bugey Sud;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Belley;Belley;45.743003228736555;5.692723326895182;BELLEY, France
INSEE_01037;01037;Bénonces;Communauté de communes de la Plaine de l'Ain;01;France;rpc_depart;Auvergne-Rhône-Alpes;Ain;Belley;Bénonces;45.84204476299634;5.483438052165611;BENONCES, France
INSEE_01043;01043;Beynost;Communauté de communes de Miribel et du Plateau;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Bourg-en-Bresse;Beynost;45.83594448712938;4.996379391863267;BEYNOST, France
INSEE_01045;01045;Birieux;Communauté de communes de la Dombes;01;France;rpc_arrivee;Auvergne-Rhône-Alpes;Ain;Bourg-en-Bresse;Birieux;45.950909022357635;5.040067352350348;BIRIEUX, France
INSEE_01047;01047;Blyes;Communauté de communes de la Plaine de l'Ain;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Belley;Blyes;45.84415298662191;5.251480324207212;BLYES, France
INSEE_01049;01049;La Boisse;Communauté de communes de la Côtière à Montluel;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Bourg-en-Bresse;Boisse;45.848272504053085;5.026246891574977;LA BOISSE, France
INSEE_01053;01053;Bourg-en-Bresse;Communauté d'agglomération du Bassin de Bourg-en-Bresse;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Bourg-en-Bresse;Bourg-en-Bresse;46.202711533144964;5.246911351896918;BOURG EN BRESSE, France
INSEE_01064;01064;Briord;Communauté de communes de la Plaine de l'Ain;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Belley;Briord;45.76801922759245;5.483159738029499;BRIORD, France
INSEE_01074;01074;Chalamont;Communauté de communes de la Dombes;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Bourg-en-Bresse;Chalamont;46.014874462720016;5.173466366865728;CHALAMONT, France
INSEE_01075;01075;Chaleins;Communauté de communes Val de Saône Centre;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Bourg-en-Bresse;Chaleins;46.03613135452816;4.799905102442041;CHALEINS, France
INSEE_01089;01089;Château-Gaillard;Communauté de communes de la Plaine de l'Ain;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Belley;Château-Gaillard;45.97234062120381;5.309075076934354;CHATEAU GAILLARD, France
INSEE_01093;01093;Châtillon-sur-Chalaronne;Communauté de communes de la Dombes;01;France;rpc_arrivee;Auvergne-Rhône-Alpes;Ain;Bourg-en-Bresse;Châtillon-sur-Chalaronne;46.12644416906889;4.954944578687101;CHATILLON SUR CHALARONNE, France
INSEE_01099;01099;Chazey-sur-Ain;Communauté de communes de la Plaine de l'Ain;01;France;rpc_arrivee;Auvergne-Rhône-Alpes;Ain;Belley;Chazey-sur-Ain;45.89368094811379;5.260373830172193;CHAZEY SUR AIN, France
INSEE_01105;01105;Civrieux;Communauté de communes Dombes Saône Vallée;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Bourg-en-Bresse;Civrieux;45.920773703116524;4.889539388273697;CIVRIEUX, France
INSEE_01142;01142;Dagneux;Communauté de communes de la Côtière à Montluel;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Bourg-en-Bresse;Dagneux;45.854014383670744;5.074835607770215;DAGNEUX, France
INSEE_01151;01151;Druillat;Communauté d'agglomération du Bassin de Bourg-en-Bresse;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Bourg-en-Bresse;Druillat;46.069118700618745;5.294666181977939;DRUILLAT, France
INSEE_01157;01157;Fareins;Communauté de communes Dombes Saône Vallée;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Bourg-en-Bresse;Fareins;46.023468796267395;4.768189953366116;FAREINS, France
INSEE_01166;01166;Frans;Communauté de communes Dombes Saône Vallée;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Bourg-en-Bresse;Frans;45.990515881818155;4.781944344594678;FRANS, France
INSEE_01183;01183;Guéreins;CC Val de Saône Centre;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Bourg-en-Bresse;Guéreins;46.105992694630274;4.783860601616071;GUEREINS, France
INSEE_01194;01194;Jassans-Riottier;Communauté d'agglomération Villefranche Beaujolais Saône;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Bourg-en-Bresse;Jassans-Riottier;45.97708384582677;4.762580594669464;JASSANS RIOTTIER, France
INSEE_01202;01202;Lagnieu;Communauté de communes de la Plaine de l'Ain;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Belley;Lagnieu;45.886314960788226;5.339569058721073;LAGNIEU, France
INSEE_01213;01213;Leyment;Communauté de communes de la Plaine de l'Ain;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Belley;Leyment;45.928672407159794;5.292663079018266;LEYMENT, France
INSEE_01224;01224;Loyettes;Communauté de communes de la Plaine de l'Ain;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Belley;Loyettes;45.79530478087062;5.216325319927909;LOYETTES, France
INSEE_01238;01238;Massieux;Communauté de communes Dombes Saône Vallée;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Bourg-en-Bresse;Massieux;45.91012047261897;4.8278815564694835;MASSIEUX, France
INSEE_01244;01244;Meximieux;Communauté de communes de la Plaine de l'Ain;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Belley;Meximieux;45.90471217731195;5.211591265960236;MEXIMIEUX, France
INSEE_01248;01248;Mionnay;Communauté de communes de la Dombes;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Bourg-en-Bresse;Mionnay;45.89589156089551;4.9274322335655505;MIONNAY, France
INSEE_01249;01249;Miribel;Communauté de communes de Miribel et du Plateau;01;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ain;Bourg-en-Bresse;Miribel;45.844401200745025;4.941022249644163;MIRIBEL, France
