commune_depart_id;code_insee;commune_nom;groupe_commune;departement;pays;sources
INSEE_01004;01004;Ambérieu-en-Bugey;Communauté de communes de la Plaine de l'Ain;01;France;rpc_arrivee, rpc_depart
INSEE_01005;01005;Ambérieux-en-Dombes;Communauté de communes Dombes Saône Vallée;01;France;rpc_arrivee, rpc_depart
INSEE_01007;01007;Ambronay;Communauté de communes de la Plaine de l'Ain;01;France;rpc_arrivee, rpc_depart
INSEE_01027;01027;Balan;Communauté de communes de la Côtière à Montluel;01;France;rpc_arrivee, rpc_depart
INSEE_01031;01031;Bellignat;Communauté d'agglomération Haut - Bugey Agglomération;01;France;rpc_arrivee, rpc_depart
INSEE_01032;01032;Béligneux;Communauté de communes de la Côtière à Montluel;01;France;rpc_arrivee, rpc_depart
INSEE_01033;01033;Valserhône;Communauté de communes du Pays Bellegardien (CCPB);01;France;rpc_arrivee, rpc_depart
INSEE_01034;01034;Belley;Communauté de communes Bugey Sud;01;France;rpc_arrivee, rpc_depart
INSEE_01037;01037;Bénonces;Communauté de communes de la Plaine de l'Ain;01;France;rpc_depart
INSEE_01043;01043;Beynost;Communauté de communes de Miribel et du Plateau;01;France;rpc_arrivee, rpc_depart
INSEE_01045;01045;Birieux;Communauté de communes de la Dombes;01;France;rpc_arrivee
INSEE_01047;01047;Blyes;Communauté de communes de la Plaine de l'Ain;01;France;rpc_arrivee, rpc_depart
INSEE_01049;01049;La Boisse;Communauté de communes de la Côtière à Montluel;01;France;rpc_arrivee, rpc_depart
INSEE_01053;01053;Bourg-en-Bresse;Communauté d'agglomération du Bassin de Bourg-en-Bresse;01;France;rpc_arrivee, rpc_depart
INSEE_01064;01064;Briord;Communauté de communes de la Plaine de l'Ain;01;France;rpc_arrivee, rpc_depart
INSEE_01074;01074;Chalamont;Communauté de communes de la Dombes;01;France;rpc_arrivee, rpc_depart
INSEE_01075;01075;Chaleins;Communauté de communes Val de Saône Centre;01;France;rpc_arrivee, rpc_depart
INSEE_01089;01089;Château-Gaillard;Communauté de communes de la Plaine de l'Ain;01;France;rpc_arrivee, rpc_depart
INSEE_01093;01093;Châtillon-sur-Chalaronne;Communauté de communes de la Dombes;01;France;rpc_arrivee
INSEE_01099;01099;Chazey-sur-Ain;Communauté de communes de la Plaine de l'Ain;01;France;rpc_arrivee
INSEE_01105;01105;Civrieux;Communauté de communes Dombes Saône Vallée;01;France;rpc_arrivee, rpc_depart
INSEE_01142;01142;Dagneux;Communauté de communes de la Côtière à Montluel;01;France;rpc_arrivee, rpc_depart
INSEE_01151;01151;Druillat;Communauté d'agglomération du Bassin de Bourg-en-Bresse;01;France;rpc_arrivee, rpc_depart
INSEE_01157;01157;Fareins;Communauté de communes Dombes Saône Vallée;01;France;rpc_arrivee, rpc_depart
INSEE_01166;01166;Frans;Communauté de communes Dombes Saône Vallée;01;France;rpc_arrivee, rpc_depart
INSEE_01183;01183;Guéreins;CC Val de Saône Centre;01;France;rpc_arrivee, rpc_depart
INSEE_01194;01194;Jassans-Riottier;Communauté d'agglomération Villefranche Beaujolais Saône;01;France;rpc_arrivee, rpc_depart
INSEE_01202;01202;Lagnieu;Communauté de communes de la Plaine de l'Ain;01;France;rpc_arrivee, rpc_depart
INSEE_01213;01213;Leyment;Communauté de communes de la Plaine de l'Ain;01;France;rpc_arrivee, rpc_depart
INSEE_01224;01224;Loyettes;Communauté de communes de la Plaine de l'Ain;01;France;rpc_arrivee, rpc_depart
INSEE_01238;01238;Massieux;Communauté de communes Dombes Saône Vallée;01;France;rpc_arrivee, rpc_depart
INSEE_01244;01244;Meximieux;Communauté de communes de la Plaine de l'Ain;01;France;rpc_arrivee, rpc_depart
INSEE_01248;01248;Mionnay;Communauté de communes de la Dombes;01;France;rpc_arrivee, rpc_depart
INSEE_01249;01249;Miribel;Communauté de communes de Miribel et du Plateau;01;France;rpc_arrivee, rpc_depart
INSEE_01250;01250;Misérieux;Communauté de communes Dombes Saône Vallée;01;France;rpc_arrivee, rpc_depart
INSEE_01255;01255;Montagnieu;Communauté de communes de la Plaine de l'Ain;01;France;rpc_arrivee, rpc_depart
INSEE_01260;01260;Le Montellier;Communauté de communes de la Plaine de l'Ain;01;France;rpc_depart
INSEE_01262;01262;Montluel;Communauté de communes de la Côtière à Montluel;01;France;rpc_arrivee, rpc_depart
INSEE_01269;01269;Nantua;CA Haut - Bugey Agglomération;01;France;rpc_depart
INSEE_01276;01276;Niévroz;Communauté de communes de la Côtière à Montluel;01;France;rpc_arrivee
INSEE_01283;01283;Oyonnax;Communauté d'agglomération Haut - Bugey Agglomération;01;France;rpc_arrivee, rpc_depart
INSEE_01290;01290;Pérouges;Communauté de communes de la Plaine de l'Ain;01;France;rpc_arrivee, rpc_depart
INSEE_01304;01304;Pont-d'Ain;Communauté de communes Rives de l'Ain - Pays du Cerdon;01;France;rpc_depart
INSEE_01318;01318;Rancé;Communauté de communes Dombes Saône Vallée;01;France;rpc_depart
INSEE_01322;01322;Reyrieux;Communauté de communes Dombes Saône Vallée;01;France;rpc_arrivee, rpc_depart
INSEE_01333;01333;Saint-André-de-Corcy;Communauté de communes de la Dombes;01;France;rpc_arrivee, rpc_depart
INSEE_01339;01339;Saint-Bernard;Communauté de communes Dombes Saône Vallée;01;France;rpc_arrivee
INSEE_01347;01347;Saint-Didier-de-Formans;CC Dombes Saône Vallée;01;France;rpc_depart
INSEE_01353;01353;Sainte-Euphémie;Communauté de communes Dombes Saône Vallée;01;France;rpc_arrivee, rpc_depart
INSEE_01361;01361;Saint-Jean-de-Niost;Communauté de communes de la Plaine de l'Ain;01;France;rpc_arrivee, rpc_depart
INSEE_01363;01363;Saint-Jean-le-Vieux;Communauté de communes Rives de l'Ain - Pays du Cerdon;01;France;rpc_depart
INSEE_01366;01366;Sainte-Julie;Communauté de communes de la Plaine de l'Ain;01;France;rpc_arrivee, rpc_depart
INSEE_01371;01371;Saint-Marcel;Communauté de communes de la Dombes;01;France;rpc_arrivee
INSEE_01373;01373;Saint-Martin-du-Frêne;CA Haut - Bugey Agglomération;01;France;rpc_arrivee
INSEE_01374;01374;Saint-Martin-du-Mont;Communauté d'agglomération du Bassin de Bourg-en-Bresse;01;France;rpc_arrivee
INSEE_01376;01376;Saint-Maurice-de-Beynost;Communauté de communes de Miribel et du Plateau;01;France;rpc_arrivee, rpc_depart
INSEE_01378;01378;Saint-Maurice-de-Gourdans;Communauté de communes de la Plaine de l'Ain;01;France;rpc_arrivee, rpc_depart
INSEE_01386;01386;Saint-Sorlin-en-Bugey;Communauté de communes de la Plaine de l'Ain;01;France;rpc_arrivee
INSEE_01390;01390;Saint-Vulbas;Communauté de communes de la Plaine de l'Ain;01;France;rpc_arrivee, rpc_depart
INSEE_01419;01419;Thoiry;Communauté d'agglomération du Pays de Gex;01;France;rpc_depart
INSEE_01424;01424;Tramoyes;Communauté de communes de Miribel et du Plateau;01;France;rpc_arrivee, rpc_depart
INSEE_01427;01427;Trévoux;Communauté de communes Dombes Saône Vallée;01;France;rpc_arrivee, rpc_depart
INSEE_01443;01443;Villars-les-Dombes;Communauté de communes de la Dombes;01;France;rpc_arrivee
INSEE_01446;01446;Villeneuve;Communauté de communes Dombes Saône Vallée;01;France;rpc_arrivee, rpc_depart
INSEE_01450;01450;Villieu-Loyes-Mollon;Communauté de communes de la Plaine de l'Ain;01;France;rpc_arrivee, rpc_depart
INSEE_07010;07010;Annonay;Communauté d'agglomération Annonay Rhône Agglo;07;France;rpc_arrivee, rpc_depart
INSEE_07015;07015;Arras-sur-Rhône;CC Porte de DrômArdèche;07;France;rpc_arrivee, rpc_depart
INSEE_07078;07078;Davézieux;Communauté d'agglomération Annonay Rhône Agglo;07;France;rpc_arrivee, rpc_depart
INSEE_24322;24322;Périgueux;Communauté d'agglomération Le Grand Périgueux;24;France;rpc_depart
INSEE_26002;26002;Albon;Communauté de communes Porte de DrômArdèche;26;France;rpc_arrivee
INSEE_26004;26004;Alixan;CA Valence Romans Agglo;26;France;rpc_arrivee
INSEE_26009;26009;Andancette;Communauté de communes Porte de DrômArdèche;26;France;rpc_arrivee, rpc_depart
INSEE_26010;26010;Anneyron;Communauté de communes Porte de DrômArdèche;26;France;rpc_arrivee, rpc_depart
INSEE_26041;26041;Beausemblant;Communauté de communes Porte de DrômArdèche;26;France;rpc_arrivee, rpc_depart
INSEE_26058;26058;Bourg-lès-Valence;Communauté d'agglomération Valence Romans Agglo;26;France;rpc_arrivee, rpc_depart
INSEE_26072;26072;Chantemerle-les-Blés;Communauté d'agglomération Arche Agglo;26;France;rpc_depart
INSEE_26083;26083;Châteauneuf-de-Galaure;Communauté de communes Porte de DrômArdèche;26;France;rpc_arrivee, rpc_depart
INSEE_26118;26118;Épinouze;CC Porte de DrômArdèche;26;France;rpc_arrivee
INSEE_26247;26247;Ponsas;Communauté de communes Porte de DrômArdèche;26;France;rpc_arrivee
INSEE_26313;26313;Saint-Marcel-lès-Valence;Communauté d'agglomération Valence Romans Agglo;26;France;rpc_depart
INSEE_26325;26325;Saint-Rambert-d'Albon;Communauté de communes Porte de DrômArdèche;26;France;rpc_arrivee, rpc_depart
INSEE_26330;26330;Saint-Sorlin-en-Valloire;Communauté de communes Porte de DrômArdèche;26;France;rpc_arrivee, rpc_depart
INSEE_26333;26333;Saint-Vallier;Communauté de communes Porte de DrômArdèche;26;France;rpc_arrivee, rpc_depart
INSEE_26341;26341;Serves-sur-Rhône;Communauté d'agglomération Arche Agglo;26;France;rpc_arrivee, rpc_depart
INSEE_26362;26362;Valence;Communauté d'agglomération Valence Romans Agglo;26;France;rpc_arrivee, rpc_depart
INSEE_38012;38012;Aoste;Communauté de communes Les Vals du Dauphiné;38;France;rpc_depart
INSEE_38017;38017;Assieu;Communauté de communes Entre Bièvre et Rhône;38;France;rpc_arrivee, rpc_depart
INSEE_38019;38019;Auberives-sur-Varèze;Communauté de communes Entre Bièvre et Rhône;38;France;rpc_depart
INSEE_38022;38022;Les Avenières Veyrins-Thuellin;Communauté de communes Les Balcons du Dauphiné;38;France;rpc_arrivee, rpc_depart
INSEE_38026;38026;La Balme-les-Grottes;Communauté de communes Les Balcons du Dauphiné;38;France;rpc_arrivee, rpc_depart
INSEE_38035;38035;Beauvoir-de-Marc;Communauté de communes Bièvre Isère;38;France;rpc_arrivee, rpc_depart
INSEE_38048;38048;Bonnefamille;Communauté de communes Collines Isère Nord Communauté;38;France;rpc_depart
INSEE_38053;38053;Bourgoin-Jallieu;Communauté d'agglomération Porte de l'Isère (CAPI);38;France;rpc_arrivee, rpc_depart
INSEE_38058;38058;Brézins;Communauté de communes Bièvre Isère;38;France;rpc_arrivee, rpc_depart
INSEE_38064;38064;Cessieu;Communauté de communes Les Vals du Dauphiné;38;France;rpc_arrivee, rpc_depart
INSEE_38067;38067;Chamagnieu;Communauté de communes Les Balcons du Dauphiné;38;France;rpc_arrivee, rpc_depart
INSEE_38072;38072;Chanas;Communauté de communes Entre Bièvre et Rhône;38;France;rpc_arrivee, rpc_depart
INSEE_38085;38085;Charvieu-Chavagneux;Communauté de communes Lyon Saint Exupéry en Dauphiné;38;France;rpc_arrivee, rpc_depart
INSEE_38087;38087;Chasse-sur-Rhône;Communauté d'agglomération Vienne Condrieu;38;France;rpc_arrivee, rpc_depart
INSEE_38097;38097;Chavanoz;Communauté de communes Lyon Saint Exupéry en Dauphiné;38;France;rpc_arrivee, rpc_depart
INSEE_38101;38101;Cheyssieu;Communauté de communes Entre Bièvre et Rhône;38;France;rpc_arrivee, rpc_depart
INSEE_38104;38104;Chimilin;Communauté de communes Les Vals du Dauphiné;38;France;rpc_arrivee, rpc_depart
INSEE_38107;38107;Chonas-l'Amballan;Communauté d'agglomération Vienne Condrieu;38;France;rpc_arrivee, rpc_depart
INSEE_38109;38109;Chozeau;Communauté de communes Les Balcons du Dauphiné;38;France;rpc_arrivee, rpc_depart
INSEE_38110;38110;Chuzelles;Communauté d'agglomération Vienne Condrieu;38;France;rpc_arrivee, rpc_depart
INSEE_38124;38124;Corbelin;Communauté de communes Les Balcons du Dauphiné;38;France;rpc_depart
INSEE_38130;38130;La Côte-Saint-André;Communauté de communes Bièvre Isère;38;France;rpc_arrivee, rpc_depart
INSEE_38131;38131;Les Côtes-d'Arey;Communauté d'agglomération Vienne Condrieu;38;France;rpc_arrivee, rpc_depart
INSEE_38138;38138;Crémieu;Communauté de communes Les Balcons du Dauphiné;38;France;rpc_arrivee, rpc_depart
INSEE_38144;38144;Diémoz;Communauté de communes Collines Isère Nord Communauté;38;France;rpc_arrivee, rpc_depart
INSEE_38149;38149;Domarin;CA Porte de l'Isère (CAPI);38;France;rpc_arrivee
INSEE_38156;38156;Les Éparres;Communauté d'agglomération Porte de l'Isère (CAPI);38;France;rpc_arrivee, rpc_depart
INSEE_38157;38157;Estrablin;Communauté d'agglomération Vienne Condrieu;38;France;rpc_arrivee, rpc_depart
INSEE_38160;38160;Eyzin-Pinet;Communauté d'agglomération Vienne Condrieu;38;France;rpc_arrivee, rpc_depart
INSEE_38172;38172;Four;Communauté d'agglomération Porte de l'Isère (CAPI);38;France;rpc_arrivee, rpc_depart
INSEE_38176;38176;Frontonas;Communauté de communes Les Balcons du Dauphiné;38;France;rpc_arrivee, rpc_depart
