site_id;commune_id;fid;gid;parent_site_id;code_insee;longitude;latitude;external_ids;infrastructure_type;geometrie_wkt;site_name
100017792;INSEE_69256;pvo_patrimoine_voirie.pvocomptagesite.100017792;100017792;;69256;4,93579835;45,77052963;;;POINT (4.935798346996308 45.770529629835806);Vaulx en Velin_Pont de la Sucrerie
100017793;INSEE_69275;pvo_patrimoine_voirie.pvocomptagesite.100017793;100017793;;69275;4,9543418;45,77486441;;;POINT (4.954341799020768 45.77486440927123);Décines_Passerelle Nelson Mandela
100024515;INSEE_69266;pvo_patrimoine_voirie.pvocomptagesite.100024515;100024515;;69266;4,89186913;45,78391267;;;POINT (4.8918691277503985 45.78391266659732);Villeurbanne_Pont de Croix-Luizet
100026724;INSEE_69259;pvo_patrimoine_voirie.pvocomptagesite.100026724;100026724;;69259;4,88743544;45,72246529;;;POINT (4.88743543624878 45.72246529189946);Lyon 8/Vénissieux_Boulevard Pinel
69149.00072.12;INSEE_69600;pvo_patrimoine_voirie.pvocomptagesite.69149.00072.12;69149.00072.12;69149.00072.12;69600;4,81512527;45,7168309;;OTHER SPECIFIC SITE;POINT (4.81512527 45.7168309);OULLINS_Gare routière
69194.00013.02;INSEE_69370;pvo_patrimoine_voirie.pvocomptagesite.69194.00013.02;69194.00013.02;69194.00013.02;69370;4,79834119;45,81053311;;OTHER SPECIFIC SITE;POINT (4.798341188 45.81053311);SAINT DIDIER_59 Avenue de la République
69256.00190.02;INSEE_69120;pvo_patrimoine_voirie.pvocomptagesite.69256.00190.02;69256.00190.02;69256.00190.02;69120;4,92249899;45,77940946;;OTHER SPECIFIC SITE;POINT (4.92249899 45.77940946);VAULX EN VELIN_AVENUE DES CANUTS
69381.01593.03;INSEE_69381;pvo_patrimoine_voirie.pvocomptagesite.69381.01593.03;69381.01593.03;69381.01593.03;69381;4,836083;45,767219;;OTHER SPECIFIC SITE;POINT (4.836083 45.767219);Lyon 1_1 Rue République
69383.02028.03;INSEE_69383;pvo_patrimoine_voirie.pvocomptagesite.69383.02028.03;69383.02028.03;69383.02028.03;69383;4,8449712;45,7631526;;OTHER SPECIFIC SITE;POINT (4.8449712 45.7631526);Lyon 3_ 60 Av. Maréchal Saxe
69384.00008.03;INSEE_69384;pvo_patrimoine_voirie.pvocomptagesite.69384.00008.03;69384.00008.03;69384.00008.03;69384;4,828177;45,774059;;OTHER SPECIFIC SITE;POINT (4.828177 45.774059);Lyon 4_FACE N° 125 BOULEVARD DE LA CROIX ROUSSE
