station_taxi_id;commune_id;fid;gid;nom;adresse;commune;code_insee;nb_emplacements;telephone_flag;separateur_taxi;abri_flag;panneau_flag;diodes_flag;totem_flag;observation;validite;longitude;latitude;geometrie_wkt
TAXI_4028;INSEE_69091;pvo_patrimoine_voirie.pvostationtaxi.4028;4028;TAXGIV01;14, Quai Robichon-Malgontier;Givors;69091;1;0;Peinture;0;1;0;0;Emplacement réservé ambulance et taxi;Validé;4,777287412600262;45,58246772528973;POINT (4.777287412600262 45.58246772528973)
TAXI_4045;INSEE_69202;pvo_patrimoine_voirie.pvostationtaxi.4045;4045;TAXFL01;7, Avenue Maréchal Foch;Sainte-Foy-lès-Lyon;69202;2;0;Autre;0;1;0;0;Arrêté n°830 le 25/06/19;Validé;4,796192762937808;45,74917361266503;POINT (4.796192762937808 45.74917361266503)
TAXI_4009;INSEE_69044;pvo_patrimoine_voirie.pvostationtaxi.4009;4009;TAXCHR01;Promenade de la Gare;Charbonnières-les-Bains;69044;3;0;Peinture;0;1;0;1;;Validé;4,736168906657862;45,78192076915378;POINT (4.736168906657862 45.78192076915378)
TAXI_356;INSEE_69384;pvo_patrimoine_voirie.pvostationtaxi.356;356;TAX401;159, Boulevard de la Croix-Rousse;Lyon 4e Arrondissement;69384;8;0;Bordure granit;0;1;0;1;;Validé;4,831098671054798;45,77445538442347;POINT (4.831098671054798 45.77445538442347)
TAXI_1617;INSEE_69034;pvo_patrimoine_voirie.pvostationtaxi.1617;1617;TAXCAL01;Place de L'église;Caluire-et-Cuire;69034;4;0;Peinture;0;1;0;0;;Validé;4,847984860326429;45,79989003772338;POINT (4.847984860326429 45.79989003772338)
TAXI_4017;INSEE_69266;pvo_patrimoine_voirie.pvostationtaxi.4017;4017;TAXVIL06;1, Avenue Général Leclerc;Villeurbanne;69266;3;0;Peinture;0;1;0;0;;Validé;4,890790770644053;45,75923568159811;POINT (4.890790770644053 45.75923568159811)
TAXI_326;INSEE_69382;pvo_patrimoine_voirie.pvostationtaxi.326;326;TAX205;26, Place Bellecour;Lyon 2e Arrondissement;69382;3;0;Peinture;0;1;0;0;Station Place Bellecour;Validé;4,8313882776808175;45,756797916842054;POINT (4.8313882776808175 45.756797916842054)
TAXI_4008;INSEE_69149;pvo_patrimoine_voirie.pvostationtaxi.4008;4008;TAXOUL02;Rue Pierre Sémard;Oullins;69149;5;0;Peinture;0;1;0;0;;Validé;4,81404328776591;45,71712994176517;POINT (4.81404328776591 45.71712994176517)
TAXI_4037;INSEE_69088;pvo_patrimoine_voirie.pvostationtaxi.4037;4037;TAXFSS01;1, Rue Pierre Cardon;Fontaines-sur-Saône;69088;1;0;Peinture;0;1;0;0;Arrêté N°2019-39 du 05/03/2019;Validé;4,847668855562932;45,834640742174244;POINT (4.847668855562932 45.834640742174244)
TAXI_334;INSEE_69383;pvo_patrimoine_voirie.pvostationtaxi.334;334;TAX305;Gare de la Part-Dieu;Lyon 3e Arrondissement;69383;12;0;Autre;1;0;0;0;Dépose minute Part-Dieu souterraine (en travaux en juin 2018);En projet ou en cours de validation;4,859440383411286;45,76039287335211;POINT (4.859440383411286 45.76039287335211)
TAXI_4018;INSEE_69271;pvo_patrimoine_voirie.pvostationtaxi.4018;4018;TAXCHA01;Eurexpo;Chassieu;69271;10;1;Peinture;1;1;0;1;;Validé;4,949648843802793;45,73041923937741;POINT (4.949648843802793 45.73041923937741)
TAXI_4034;INSEE_69256;pvo_patrimoine_voirie.pvostationtaxi.4034;4034;TAXVAU01;Face 33, Rue Emile Zola;Vaulx-en-Velin;69256;2;0;Peinture;0;1;0;1;;Validé;4,919936219019174;45,777322927958316;POINT (4.919936219019174 45.777322927958316)
