NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;RR;QRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TNTXM;QTNTXM;TAMPLI;QTAMPLI;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;FFM;QFFM;FF2M;QFF2M;FXY;QFXY;DXY;QDXY;HXY;QHXY;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;DRR;QDRR;STATUS_FXI3S;STATUS_DXI3S
69008001;ANCY_SAPC;45.843333;4.508167;626;20260101;0.0;1;-5.7;1;651;9;4.2;1;1339;9;-1.5;1;-0.8;1;9.9;1;;;;;896;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260102;0.8;1;-3.6;1;549;9;4.5;1;1317;9;0.2;1;0.5;1;8.1;1;;;;;566;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260103;0.0;1;-4.7;1;746;9;1.6;1;1302;9;-2.1;1;-1.6;1;6.3;1;;;;;1195;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260104;0.0;1;-7.5;1;624;9;-0.5;1;1308;9;-4.5;1;-4.0;1;7.0;1;;;;;1440;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260105;0.0;1;-6.9;1;1749;9;-1.1;1;1314;9;-5.0;1;-4.0;1;5.8;1;;;;;1440;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260106;0.0;1;-7.5;1;349;9;-2.6;1;1233;9;-5.1;1;-5.1;1;4.9;1;;;;;1440;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260107;4.2;1;-6.9;1;634;9;0.4;1;553;9;-3.4;1;-3.3;1;7.3;1;;;;;1440;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260108;7.6;1;-3.1;1;1841;9;8.3;1;2212;9;4.5;1;2.6;1;11.4;1;;;;;325;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260109;1.6;1;2.0;1;1605;9;6.0;1;601;9;4.2;1;4.0;1;4.0;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260110;1.0;1;-0.8;1;1716;9;3.0;1;1301;9;0.8;1;1.1;1;3.8;1;;;;;444;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260111;0.4;1;-3.7;1;733;9;4.5;1;516;9;-0.6;1;0.4;1;8.2;1;;;;;1059;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260112;0.4;1;-1.5;1;1842;9;8.7;1;2301;9;5.3;1;3.6;1;10.2;1;;;;;143;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260113;0.2;1;5.5;1;559;9;13.4;1;1210;9;8.5;1;9.5;1;7.9;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260114;2.2;1;7.0;1;2126;9;12.8;1;1345;9;9.5;1;9.9;1;5.8;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260115;0.0;1;5.7;1;726;9;12.1;1;1126;9;8.8;1;8.9;1;6.4;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260116;0.0;1;7.0;1;412;9;9.9;1;1548;9;8.5;1;8.5;1;2.9;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260117;2.2;1;5.2;1;1759;9;8.0;1;1011;9;6.6;1;6.6;1;2.8;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260118;0.0;1;4.3;1;1855;9;6.9;1;1105;9;5.6;1;5.6;1;2.6;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260119;0.0;1;1.7;1;746;9;9.3;1;1148;9;5.3;1;5.5;1;7.6;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260120;0.0;1;0.3;1;107;9;8.3;1;1109;9;3.5;1;4.3;1;8.0;1;;;;;99;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260121;0.0;1;-0.8;1;1928;9;9.8;1;1353;9;4.8;1;4.5;1;10.6;1;;;;;64;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260122;0.4;1;3.9;1;644;9;10.5;1;1256;9;6.3;1;7.2;1;6.6;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260123;4.2;1;1.6;1;449;9;6.7;1;1153;9;3.1;1;4.2;1;5.1;1;;;;;38;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260124;0.0;1;-0.4;1;743;9;4.1;1;2041;9;1.2;1;1.9;1;4.5;1;;;;;323;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260125;0.6;1;0.0;1;720;9;6.8;1;1200;9;3.8;1;3.4;1;6.8;1;;;;;3;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260126;0.0;1;1.4;1;459;9;6.8;1;1458;9;2.8;1;4.1;1;5.4;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260127;24.2;1;-0.2;1;452;9;7.3;1;1718;9;4.3;1;3.6;1;7.5;1;;;;;7;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260128;2.6;1;2.4;1;231;9;4.3;1;1049;9;2.9;1;3.4;1;1.9;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260129;0.6;1;0.8;1;606;9;8.9;1;1331;9;4.0;1;4.9;1;8.1;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260130;0.6;1;2.9;1;1823;9;9.1;1;1328;9;6.1;1;6.0;1;6.2;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260131;0.2;1;4.1;1;521;9;7.2;1;1302;9;5.1;1;5.7;1;3.1;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260201;2.2;1;3.8;1;543;9;9.2;1;1049;9;5.6;1;6.5;1;5.4;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260202;3.4;1;3.5;1;554;9;11.5;1;1217;9;7.7;1;7.5;1;8.0;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260203;3.2;1;4.4;1;523;9;10.8;1;1349;9;6.8;1;7.6;1;6.4;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260204;2.4;1;4.0;1;638;9;10.6;1;1243;9;6.6;1;7.3;1;6.6;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260205;11.2;1;4.5;1;627;9;11.9;1;1224;9;7.1;1;8.2;1;7.4;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260206;0.4;1;5.5;1;1903;9;10.7;1;1043;9;8.1;1;8.1;1;5.2;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260207;0.0;1;4.7;1;702;9;10.6;1;1448;9;6.2;1;7.7;1;5.9;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260208;0.0;1;2.3;1;446;9;9.0;1;1435;9;5.0;1;5.7;1;6.7;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260209;8.4;1;2.4;1;724;9;10.0;1;1342;9;6.2;1;6.2;1;7.6;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260210;15.0;1;5.6;1;159;9;11.6;1;1113;9;8.7;1;8.6;1;6.0;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
